claim_id,policy_id,claim_date,claim_amount,claim_status,claim_reason,batch_id,load_timestamp
CLM000050,POL00059,2023-08-09,1867.73,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000051,POL01876,2023-08-10,1778.27,Approved,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000052,POL00581,2023-08-10,12902.49,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000053,POL03977,2023-08-10,5434.50,Approved,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000054,POL04721,2023-08-10,11869.51,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000055,POL01560,2023-08-10,2448.71,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000056,POL02903,2023-08-10,10647.11,Denied,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000057,POL00807,2023-08-10,1609.26,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000058,POL00896,2023-08-11,6291.54,Approved,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000059,POL03676,2023-08-11,3590.54,Approved,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000060,POL03790,2023-08-11,6320.18,Approved,Burglary,batch_001,2026-07-31T00:00:00
CLM000061,POL04509,2023-08-11,2537.93,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000062,POL00121,2023-08-11,24228.01,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000063,POL03330,2023-08-11,12192.46,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000064,POL00481,2023-08-11,4199.46,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000065,POL02173,2023-08-12,23170.30,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000066,POL03466,2023-08-12,17445.13,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000067,POL03987,2023-08-12,3954.44,Denied,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000068,POL00480,2023-08-12,14521.59,Pending,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000069,POL02570,2023-08-12,1523.42,Pending,Hit and run,batch_001,2026-07-31T00:00:00
CLM000070,POL04120,2023-08-12,22992.74,Pending,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000071,POL00466,2023-08-12,24023.39,Approved,Fire damage,batch_001,2026-07-31T00:00:00
CLM000072,POL00562,2023-08-12,14916.37,Pending,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000073,POL03308,2023-08-12,3085.18,Pending,Fire damage,batch_001,2026-07-31T00:00:00
CLM000074,POL04743,2023-08-13,14903.53,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000075,POL03435,2023-08-13,16468.59,Pending,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000076,POL02592,2023-08-13,23374.19,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000077,POL02574,2023-08-13,6043.28,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000078,POL02458,2023-08-13,11484.89,Approved,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000079,POL03755,2023-08-13,15566.87,Pending,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000080,POL00601,2023-08-14,13487.10,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000081,POL01086,2023-08-14,23338.16,Approved,Fire damage,batch_001,2026-07-31T00:00:00
CLM000082,POL03028,2023-08-14,7196.19,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000083,POL02479,2023-08-14,15330.78,Pending,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000084,POL00065,2023-08-14,16729.79,Pending,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000085,POL00849,2023-08-14,23479.36,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000086,POL00946,2023-08-14,22253.85,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000087,POL01274,2023-08-14,6881.47,Pending,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000088,POL02809,2023-08-14,5169.57,Pending,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000089,POL04141,2023-08-14,12264.44,Approved,Water damage,batch_001,2026-07-31T00:00:00
CLM000090,POL03470,2023-08-15,20750.77,Approved,Water damage,batch_001,2026-07-31T00:00:00
CLM000091,POL02733,2023-08-15,19300.87,Pending,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000092,POL01324,2023-08-15,18556.65,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000093,POL03504,2023-08-15,14066.58,Approved,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000094,POL01222,2023-08-15,13685.20,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000095,POL04527,2023-08-16,3787.54,Approved,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000096,POL02526,2023-08-16,9179.82,Approved,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000097,POL01721,2023-08-16,17083.46,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000098,POL02898,2023-08-16,19524.89,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000099,POL01267,2023-08-17,23151.52,Approved,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000100,POL01451,2023-08-17,22047.26,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000101,POL02722,2023-08-17,19581.42,Denied,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000102,POL02186,2023-08-17,4064.03,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000103,POL03134,2023-08-17,21816.95,Denied,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000104,POL01635,2023-08-17,20433.01,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000105,POL02501,2023-08-18,20531.36,Approved,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000106,POL00194,2023-08-18,16534.83,Denied,Surgery reimbursement,batch_001,2026-07-31T00:00:00
CLM000107,POL02283,2023-08-18,21622.39,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000108,POL04174,2023-08-18,10051.99,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000109,POL00227,2023-08-18,2972.01,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000110,POL04757,2023-08-19,24067.10,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000111,POL00889,2023-08-19,14954.62,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000112,POL03575,2023-08-19,15194.60,Pending,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000113,POL03156,2023-08-19,22497.67,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000114,POL00364,2023-08-19,17748.75,Approved,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000115,POL04411,2023-08-19,17202.74,Pending,Fire damage,batch_001,2026-07-31T00:00:00
CLM000116,POL02984,2023-08-19,10839.31,Pending,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000117,POL02572,2023-08-19,16618.35,Approved,Surgery reimbursement,batch_001,2026-07-31T00:00:00
CLM000118,POL04155,2023-08-19,7801.19,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000119,POL03297,2023-08-19,17460.49,Pending,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000120,POL01572,2023-08-20,10569.11,Denied,Fire damage,batch_001,2026-07-31T00:00:00
CLM000121,POL05043,2023-08-20,14270.72,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000122,POL00004,2023-08-21,7666.49,Approved,Burglary,batch_001,2026-07-31T00:00:00
CLM000123,POL04752,2023-08-21,15205.87,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000124,POL03620,2023-08-21,11109.78,Approved,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000125,POL03877,2023-08-21,19864.01,Pending,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000126,POL00695,2023-08-21,7166.28,Pending,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000127,POL02746,2023-08-21,2425.34,Approved,Surgery reimbursement,batch_001,2026-07-31T00:00:00
CLM000128,POL01841,2023-08-21,20183.42,Approved,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000129,POL00379,2023-08-22,6196.58,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000130,POL00597,2023-08-22,11439.86,Pending,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000131,POL01593,2023-08-23,17986.81,Denied,Burglary,batch_001,2026-07-31T00:00:00
CLM000132,POL03274,2023-08-23,6175.21,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000133,POL00046,2023-08-23,22327.23,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000134,POL01793,2023-08-23,4479.58,Pending,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000135,POL03806,2023-08-23,1350.44,Approved,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000136,POL03740,2023-08-23,3420.14,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000137,POL04579,2023-08-24,14926.76,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000138,POL04136,2023-08-24,10725.84,Pending,Prescription claim,batch_001,2026-07-31T00:00:00
CLM000139,POL01304,2023-08-24,18617.02,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000140,POL02124,2023-08-24,18819.24,Pending,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000141,POL04271,2023-08-25,12166.47,Approved,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000142,POL03604,2023-08-25,2029.34,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000143,POL02226,2023-08-25,8462.60,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000144,POL01134,2023-08-25,3855.68,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000145,POL01252,2023-08-25,17689.84,Approved,Hit and run,batch_001,2026-07-31T00:00:00
CLM000146,POL03340,2023-08-25,8338.95,Denied,Hit and run,batch_001,2026-07-31T00:00:00
CLM000147,POL00511,2023-08-25,5250.18,Denied,Burglary,batch_001,2026-07-31T00:00:00
CLM000148,POL04785,2023-08-25,23656.94,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000149,POL03117,2023-08-25,11976.80,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000150,POL03195,2023-08-26,21350.85,Denied,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000151,POL04474,2023-08-26,20016.72,Approved,Prescription claim,batch_001,2026-07-31T00:00:00
CLM000152,POL01798,2023-08-26,6896.09,Denied,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000153,POL03186,2023-08-27,8469.63,Pending,Prescription claim,batch_001,2026-07-31T00:00:00
CLM000154,POL01353,2023-08-27,21028.59,Approved,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000155,POL04376,2023-08-28,771.46,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000156,POL04624,2023-08-28,16608.69,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000157,POL03512,2023-08-28,3478.92,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000158,POL00412,2023-08-28,6577.89,Denied,Fire damage,batch_001,2026-07-31T00:00:00
CLM000159,POL03725,2023-08-28,8238.46,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000160,POL03454,2023-08-29,6381.56,Approved,Hit and run,batch_001,2026-07-31T00:00:00
CLM000161,POL00159,2023-08-29,18750.70,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000162,POL01837,2023-08-29,16288.59,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000163,POL00255,2023-08-29,23745.33,Approved,Water damage,batch_001,2026-07-31T00:00:00
CLM000164,POL05090,2023-08-29,3894.32,Approved,Hit and run,batch_001,2026-07-31T00:00:00
CLM000165,POL00938,2023-08-29,14142.84,Approved,Burglary,batch_001,2026-07-31T00:00:00
CLM000166,POL02100,2023-08-30,19195.76,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000167,POL04975,2023-08-30,24097.00,Pending,Water damage,batch_001,2026-07-31T00:00:00
CLM000168,POL01342,2023-08-30,24121.55,Approved,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000169,POL00211,2023-08-30,23229.29,Pending,Hit and run,batch_001,2026-07-31T00:00:00
CLM000170,POL03250,2023-08-30,23542.62,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000171,POL04851,2023-08-30,17296.30,Pending,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000172,POL00835,2023-08-30,17460.11,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000173,POL00992,2023-08-30,19926.06,Pending,Water damage,batch_001,2026-07-31T00:00:00
CLM000174,POL02845,2023-08-31,13365.36,Pending,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000175,POL00565,2023-08-31,12698.42,Denied,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000176,POL03442,2023-08-31,20576.04,Approved,Hit and run,batch_001,2026-07-31T00:00:00
CLM000177,POL02968,2023-08-31,15926.07,Denied,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000178,POL03568,2023-08-31,4485.81,Pending,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000179,POL05046,2023-09-01,20224.16,Pending,Hit and run,batch_001,2026-07-31T00:00:00
CLM000180,POL03809,2023-09-01,10945.80,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000181,POL02199,2023-09-01,8125.38,Approved,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000182,POL02285,2023-09-02,22052.62,Approved,Burglary,batch_001,2026-07-31T00:00:00
CLM000183,POL04669,2023-09-02,15297.26,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000184,POL00236,2023-09-02,12408.23,Denied,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000185,POL03995,2023-09-02,5381.78,Denied,Surgery reimbursement,batch_001,2026-07-31T00:00:00
CLM000186,POL02291,2023-09-02,22019.97,Pending,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000187,POL04554,2023-09-02,352.76,Approved,Water damage,batch_001,2026-07-31T00:00:00
CLM000188,POL01978,2023-09-03,18029.86,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000189,POL01969,2023-09-03,17296.17,Pending,Prescription claim,batch_001,2026-07-31T00:00:00
CLM000190,POL03672,2023-09-03,19844.03,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000191,POL01816,2023-09-03,10169.59,Approved,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000192,POL04765,2023-09-03,9288.61,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000193,POL02817,2023-09-04,10695.04,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000194,POL02710,2023-09-04,8860.08,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000195,POL02512,2023-09-04,6359.95,Approved,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000196,POL02585,2023-09-04,3076.91,Pending,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000197,POL01570,2023-09-05,5487.98,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000198,POL04830,2023-09-05,24417.51,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000199,POL02319,2023-09-05,24514.71,Approved,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000200,POL01864,2023-09-06,9085.94,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000201,POL04376,2023-09-06,3251.92,Approved,Water damage,batch_001,2026-07-31T00:00:00
CLM000202,POL04534,2023-09-06,7374.20,Approved,Hit and run,batch_001,2026-07-31T00:00:00
CLM000203,POL00841,2023-09-07,21830.72,Pending,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000204,POL03846,2023-09-07,12019.98,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000205,POL00421,2023-09-07,6386.71,Denied,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000206,POL00536,2023-09-07,10077.62,Approved,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000207,POL00440,2023-09-07,3878.00,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000208,POL00698,2023-09-07,24848.56,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000209,POL03410,2023-09-08,15197.31,Pending,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000210,POL04281,2023-09-08,9571.41,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000211,POL04822,2023-09-08,24751.78,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000212,POL05088,2023-09-08,1599.73,Pending,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000213,POL01703,2023-09-09,15675.32,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000214,POL00666,2023-09-09,4010.72,Approved,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000215,POL00615,2023-09-09,3997.66,Denied,Burglary,batch_001,2026-07-31T00:00:00
CLM000216,POL04865,2023-09-09,11800.82,Approved,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000217,POL02361,2023-09-09,17703.20,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000218,POL00584,2023-09-09,17215.88,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000219,POL01621,2023-09-09,10685.96,Pending,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000220,POL01221,2023-09-09,22719.44,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000221,POL00489,2023-09-09,4231.48,Denied,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000222,POL04663,2023-09-09,23037.69,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000223,POL03840,2023-09-10,17248.08,Pending,Prescription claim,batch_001,2026-07-31T00:00:00
CLM000224,POL02231,2023-09-10,12561.76,Denied,Burglary,batch_001,2026-07-31T00:00:00
CLM000225,POL00659,2023-09-10,14991.11,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000226,POL04946,2023-09-10,6334.16,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000227,POL04713,2023-09-10,14719.36,Approved,Surgery reimbursement,batch_001,2026-07-31T00:00:00
CLM000228,POL04721,2023-09-10,1101.77,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000229,POL04252,2023-09-11,16322.59,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000230,POL04796,2023-09-11,10953.54,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000231,POL03851,2023-09-11,8764.23,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000232,POL00857,2023-09-11,21457.55,Denied,Hit and run,batch_001,2026-07-31T00:00:00
CLM000233,POL04059,2023-09-12,7276.62,Denied,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000234,POL00301,2023-09-12,11425.17,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000235,POL02649,2023-09-13,2986.45,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000236,POL00010,2023-09-13,16475.74,Pending,Burglary,batch_001,2026-07-31T00:00:00
CLM000237,POL03386,2023-09-13,1449.68,Pending,Surgery reimbursement,batch_001,2026-07-31T00:00:00
CLM000238,POL04084,2023-09-13,15672.68,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000239,POL02188,2023-09-13,13775.57,Denied,Hit and run,batch_001,2026-07-31T00:00:00
CLM000240,POL03971,2023-09-13,3123.51,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000241,POL01961,2023-09-13,17773.59,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000242,POL00113,2023-09-13,13851.06,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000243,POL00930,2023-09-14,11590.05,Approved,Fire damage,batch_001,2026-07-31T00:00:00
CLM000244,POL04083,2023-09-14,23323.06,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000245,POL02240,2023-09-14,10445.71,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000246,POL01997,2023-09-14,11473.98,Approved,Burglary,batch_001,2026-07-31T00:00:00
CLM000247,POL01562,2023-09-14,23054.52,Pending,Fire damage,batch_001,2026-07-31T00:00:00
CLM000248,POL00572,2023-09-14,6978.56,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000249,POL04160,2023-09-14,6752.60,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000250,POL02446,2023-09-15,20953.15,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000251,POL04012,2023-09-15,21644.99,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000252,POL03968,2023-09-16,8693.59,Pending,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000253,POL03091,2023-09-16,11438.08,Denied,Fire damage,batch_001,2026-07-31T00:00:00
CLM000254,POL01957,2023-09-16,14337.76,Approved,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000255,POL00358,2023-09-16,8022.59,Denied,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000256,POL03124,2023-09-16,9713.36,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000257,POL01247,2023-09-17,12433.68,Approved,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000258,POL04115,2023-09-17,24137.30,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000259,POL03607,2023-09-17,2582.82,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000260,POL01181,2023-09-17,10308.47,Pending,Windshield damage,batch_001,2026-07-31T00:00:00
CLM000261,POL00613,2023-09-17,11790.32,Denied,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000262,POL03257,2023-09-17,16280.93,Denied,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000263,POL03114,2023-09-17,23858.08,Pending,Hit and run,batch_001,2026-07-31T00:00:00
CLM000264,POL04433,2023-09-17,993.89,Approved,Fire damage,batch_001,2026-07-31T00:00:00
